Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IUTestSuite,Chrome 77.0.3865.90,,2019-10-15 12:17:57,2019-10-15 12:19:50,1m - 52.575s,PASSED
,,,,,,
Test Cases/InvestmentOpportunities,Chrome 77.0.3865.90,,2019-10-15 12:17:57,2019-10-15 12:18:30,32.819s,PASSED
"openBrowser(""https://www.katalon.com/"")",Chrome 77.0.3865.90,,2019-10-15 12:17:57,2019-10-15 12:18:02,4.294s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,2019-10-15 12:18:02,2019-10-15 12:18:02,0.006s,PASSED
"baseUrl = ""https://www.katalon.com/""",Chrome 77.0.3865.90,,2019-10-15 12:18:02,2019-10-15 12:18:02,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 77.0.3865.90,,2019-10-15 12:18:02,2019-10-15 12:18:02,0.058s,PASSED
"selenium.open(""https://investmentu.com/"")",Chrome 77.0.3865.90,,2019-10-15 12:18:02,2019-10-15 12:18:04,2.232s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:04,2019-10-15 12:18:05,1.406s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[1]/div[1]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:05,2019-10-15 12:18:06,0.900s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:06,2019-10-15 12:18:07,1.132s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[1]/div[2]/div/a[2]/h6"")",Chrome 77.0.3865.90,,2019-10-15 12:18:07,2019-10-15 12:18:08,0.823s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:08,2019-10-15 12:18:09,1.059s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[1]/div[3]/div/a[2]/h6"")",Chrome 77.0.3865.90,,2019-10-15 12:18:09,2019-10-15 12:18:10,0.798s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:10,2019-10-15 12:18:11,1.107s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[1]/div[4]/div/a[2]/h6"")",Chrome 77.0.3865.90,,2019-10-15 12:18:11,2019-10-15 12:18:12,1.001s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:12,2019-10-15 12:18:13,1.033s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[1]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:13,2019-10-15 12:18:14,0.892s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:14,2019-10-15 12:18:15,1.027s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[2]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:15,2019-10-15 12:18:15,0.098s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:15,2019-10-15 12:18:16,1.016s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[3]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:16,2019-10-15 12:18:17,0.819s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:17,2019-10-15 12:18:18,1.035s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[4]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:18,2019-10-15 12:18:19,0.871s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:19,2019-10-15 12:18:20,0.989s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[5]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:20,2019-10-15 12:18:21,0.847s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:21,2019-10-15 12:18:22,1.074s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[6]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:22,2019-10-15 12:18:23,0.703s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:23,2019-10-15 12:18:24,1.131s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[7]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:24,2019-10-15 12:18:25,0.906s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:25,2019-10-15 12:18:26,1.240s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[8]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:26,2019-10-15 12:18:27,0.803s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61895']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:27,2019-10-15 12:18:28,1.174s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:28,2019-10-15 12:18:29,0.923s,PASSED
"selenium.click(""id=logo"")",Chrome 77.0.3865.90,,2019-10-15 12:18:29,2019-10-15 12:18:30,1.029s,PASSED
selenium.close(),Chrome 77.0.3865.90,,2019-10-15 12:18:30,2019-10-15 12:18:30,0.152s,PASSED
,,,,,,
Test Cases/FinancialFreedom,Chrome 77.0.3865.90,,2019-10-15 12:18:30,2019-10-15 12:18:45,15.156s,PASSED
"openBrowser(""https://www.katalon.com/"")",Chrome 77.0.3865.90,,2019-10-15 12:18:30,2019-10-15 12:18:32,2.018s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,2019-10-15 12:18:32,2019-10-15 12:18:32,0.000s,PASSED
"baseUrl = ""https://www.katalon.com/""",Chrome 77.0.3865.90,,2019-10-15 12:18:32,2019-10-15 12:18:32,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 77.0.3865.90,,2019-10-15 12:18:32,2019-10-15 12:18:32,0.011s,PASSED
"selenium.open(""https://investmentu.com/"")",Chrome 77.0.3865.90,,2019-10-15 12:18:32,2019-10-15 12:18:35,2.504s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61894']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:35,2019-10-15 12:18:36,1.117s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[5]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:36,2019-10-15 12:18:36,0.772s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61894']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:36,2019-10-15 12:18:37,1.000s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[6]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:37,2019-10-15 12:18:38,0.792s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61894']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:38,2019-10-15 12:18:39,1.066s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[7]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:39,2019-10-15 12:18:40,0.785s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61894']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:40,2019-10-15 12:18:41,1.084s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/div[2]/div[8]/div"")",Chrome 77.0.3865.90,,2019-10-15 12:18:41,2019-10-15 12:18:42,0.793s,PASSED
"selenium.click(""xpath= //*[@id='menu-item-61894']/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:42,2019-10-15 12:18:43,1.046s,PASSED
"selenium.click(""xpath= /html/body/main/div[1]/div/div[1]/a"")",Chrome 77.0.3865.90,,2019-10-15 12:18:43,2019-10-15 12:18:44,0.812s,PASSED
"selenium.click(""id=logo"")",Chrome 77.0.3865.90,,2019-10-15 12:18:44,2019-10-15 12:18:45,1.054s,PASSED
selenium.close(),Chrome 77.0.3865.90,,2019-10-15 12:18:45,2019-10-15 12:18:45,0.168s,PASSED
,,,,,,
Test Cases/DividendStocks,Chrome 77.0.3865.90,,2019-10-15 12:18:45,2019-10-15 12:19:02,17.366s,PASSED
"openBrowser(""https://www.katalon.com/"")",Chrome 77.0.3865.90,,2019-10-15 12:18:45,2019-10-15 12:18:47,2.115s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,2019-10-15 12:18:47,2019-10-15 12:18:47,0.000s,PASSED
"baseUrl = ""https://www.katalon.com/""",Chrome 77.0.3865.90,,2019-10-15 12:18:47,2019-10-15 12:18:47,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 77.0.3865.90,,2019-10-15 12:18:47,2019-10-15 12:18:47,0.016s,PASSED
